player,tm,g,gs,fg_percent,x3p_percent,x2p_percent,ft_percent,pts_per_game
A.J. Green,MIL,6,0,0.2,0.2,0.0,0.0,0.5
A.J. Lawson,MIN,1,0,1.0,0.0,1.0,0.0,2.0
Aaron Gordon,DEN,18,18,0.604,0.392,0.687,0.613,16.1
Aaron Holiday,ATL,20,1,0.413,0.462,0.389,0.727,4.3
Aaron Nesmith,IND,17,9,0.364,0.343,0.396,0.792,7.6
Aaron Wiggins,OKC,16,5,0.474,0.406,0.522,0.833,6.4
Admiral Schofield,ORL,12,0,0.455,0.381,0.583,0.0,3.2
AJ Griffin,ATL,18,1,0.47,0.38,0.574,1.0,8.8
Al Horford,BOS,18,18,0.555,0.488,0.649,0.625,10.9
Alec Burks,DET,10,0,0.439,0.409,0.463,0.821,15.0
Aleksej Pokusevski,OKC,19,15,0.468,0.413,0.505,0.579,9.5
Alex Caruso,CHI,21,5,0.429,0.385,0.487,0.774,5.8
Alex Len,SAC,6,0,0.667,0.0,0.667,0.5,1.5
Alize Johnson,SAS,1,0,1.0,0.0,1.0,0.0,2.0
Alperen Şengün,HOU,18,15,0.55,0.19,0.594,0.802,15.5
Amir Coffey,LAC,20,5,0.393,0.235,0.455,0.806,4.1
Andre Drummond,CHI,15,0,0.554,0.0,0.568,0.739,7.3
Andrew Nembhard,IND,16,7,0.452,0.404,0.512,1.0,7.0
Andrew Wiggins,GSW,20,20,0.497,0.429,0.554,0.692,18.6
Anfernee Simons,POR,20,20,0.428,0.38,0.488,0.882,23.8
Anthony Davis,LAL,18,18,0.569,0.238,0.593,0.82,26.3
Anthony Edwards,MIN,22,22,0.462,0.345,0.546,0.766,22.9
Anthony Gill,WAS,18,4,0.553,0.167,0.686,0.818,3.5
Anthony Lamb,GSW,14,2,0.557,0.436,0.773,1.0,6.1
Austin Reaves,LAL,20,8,0.54,0.397,0.667,0.909,10.9
Austin Rivers,MIN,12,2,0.357,0.222,0.6,0.909,2.8
Ayo Dosunmu,CHI,20,20,0.515,0.323,0.624,0.944,10.7
Bam Adebayo,MIA,20,20,0.53,0.111,0.542,0.865,20.7
Ben Simmons,BRK,17,12,0.614,0.0,0.62,0.545,8.4
Bennedict Mathurin,IND,21,0,0.434,0.403,0.456,0.814,19.2
Bismack Biyombo,PHO,17,2,0.489,0.0,0.489,0.471,3.1
Blake Griffin,BOS,8,3,0.5,0.4,0.571,0.833,4.1
Blake Wesley,SAS,2,0,0.667,0.667,0.667,0.5,8.0
Boban Marjanović,HOU,7,0,0.429,0.0,0.5,0.667,1.4
Bobby Portis,MIL,20,5,0.474,0.329,0.545,0.778,13.3
Bojan Bogdanović,DET,22,22,0.498,0.397,0.571,0.87,20.3
Bol Bol,ORL,22,17,0.601,0.409,0.656,0.767,13.1
Bones Hyland,DEN,13,0,0.394,0.44,0.342,0.842,15.0
Bradley Beal,WAS,16,16,0.522,0.363,0.588,0.873,23.6
Brandon Boston Jr.,LAC,6,0,0.409,0.6,0.353,0.5,3.8
Brandon Clarke,MEM,21,1,0.591,0.167,0.612,0.739,8.8
Brandon Ingram,NOP,15,15,0.472,0.467,0.474,0.868,20.8
Braxton Key,DET,3,0,1.0,0.0,1.0,1.0,1.3
Brook Lopez,MIL,20,20,0.502,0.402,0.607,0.8,15.5
Bruce Brown,DEN,21,9,0.468,0.403,0.504,0.875,11.3
Bruno Fernando,HOU,5,3,0.667,0.0,0.667,0.667,4.8
Bryce McGowens,CHO,6,0,0.5,0.429,0.556,1.0,4.3
Bryn Forbes,MIN,12,0,0.333,0.25,0.429,1.0,3.6
Buddy Boeheim,DET,1,0,0.0,0.0,0.0,0.0,0.0
Buddy Hield,IND,21,21,0.421,0.368,0.531,0.872,17.1
Cade Cunningham,DET,12,12,0.415,0.279,0.466,0.837,19.9
Caleb Houstan,ORL,17,1,0.383,0.364,0.438,0.8,4.1
Caleb Martin,MIA,21,21,0.484,0.408,0.529,0.786,11.3
Cam Reddish,NYK,19,8,0.462,0.315,0.564,0.879,8.8
Cam Thomas,BRK,17,0,0.376,0.286,0.403,0.795,6.5
Cameron Johnson,PHO,8,8,0.446,0.431,0.469,0.727,13.0
Cameron Payne,PHO,19,11,0.417,0.398,0.43,0.771,13.1
Caris LeVert,CLE,18,14,0.378,0.387,0.373,0.784,11.9
Cedi Osman,CLE,22,0,0.453,0.352,0.586,0.727,9.2
Charles Bassey,SAS,12,0,0.634,0.333,0.686,0.571,5.2
Chima Moneke,SAC,2,0,0.5,0.0,0.5,0.0,1.0
Chimezie Metu,SAC,16,0,0.578,0.188,0.708,0.909,5.4
Chris Boucher,TOR,17,0,0.464,0.283,0.56,0.716,12.1
Chris Duarte,IND,9,5,0.394,0.342,0.455,0.917,8.9
Chris Paul,PHO,10,10,0.368,0.273,0.442,0.882,9.5
Christian Braun,DEN,20,0,0.404,0.35,0.432,0.538,3.0
Christian Koloko,TOR,21,9,0.469,0.0,0.5,0.639,4.0
Christian Wood,DAL,18,0,0.542,0.403,0.604,0.671,16.3
Chuma Okeke,ORL,18,7,0.368,0.3,0.519,0.762,5.4
CJ McCollum,NOP,17,17,0.41,0.342,0.454,0.794,18.7
Clint Capela,ATL,20,20,0.615,0.0,0.615,0.568,11.5
Coby White,CHI,13,0,0.409,0.333,0.545,0.692,8.1
Cody Martin,CHO,1,0,0.0,0.0,0.0,0.0,0.0
Cole Anthony,ORL,5,3,0.417,0.333,0.462,0.8,14.6
Cole Swider,LAL,1,0,0.0,0.0,0.0,0.0,0.0
Collin Sexton,UTA,24,7,0.49,0.355,0.537,0.819,13.9
Corey Kispert,WAS,14,9,0.517,0.423,0.657,0.737,9.0
Cory Joseph,DET,17,2,0.44,0.393,0.468,0.643,5.1
D'Angelo Russell,MIN,22,22,0.425,0.318,0.524,0.759,14.4
Daishen Nix,HOU,19,0,0.356,0.375,0.316,0.7,3.4
Dalano Banton,TOR,17,2,0.419,0.317,0.5,0.875,6.2
Dalen Terry,CHI,10,0,0.273,0.25,0.286,0.75,1.0
Damian Jones,LAL,11,1,0.476,0.0,0.5,0.7,2.5
Damian Lillard,POR,11,11,0.422,0.333,0.534,0.875,26.3
Damion Lee,PHO,21,0,0.46,0.494,0.39,0.905,8.3
Daniel Gafford,WAS,22,0,0.738,0.0,0.738,0.629,5.1
Danuel House Jr.,PHI,20,2,0.471,0.359,0.621,0.75,5.0
Dario Šarić,PHO,8,0,0.308,0.2,0.375,0.75,2.6
Darius Bazley,OKC,17,0,0.434,0.36,0.466,0.5,5.5
Darius Garland,CLE,16,16,0.448,0.418,0.467,0.855,22.8
David Duke Jr.,BRK,13,0,0.457,0.0,0.516,0.75,2.7
David Roddy,MEM,21,0,0.39,0.313,0.482,0.75,6.1
Davion Mitchell,SAC,20,1,0.462,0.34,0.563,0.727,6.7
Dāvis Bertāns,DAL,6,0,0.45,0.533,0.2,1.0,4.5
Davon Reed,DEN,16,1,0.286,0.357,0.19,0.8,2.9
Day'Ron Sharpe,BRK,14,0,0.467,0.667,0.444,0.667,2.7
De'Aaron Fox,SAC,19,19,0.526,0.389,0.583,0.823,24.0
De'Andre Hunter,ATL,21,21,0.447,0.354,0.489,0.808,14.9
De'Anthony Melton,PHI,20,13,0.407,0.355,0.464,0.667,10.9
Dean Wade,CLE,16,8,0.458,0.418,0.536,0.692,6.8
Deandre Ayton,PHO,19,19,0.609,0.25,0.628,0.741,17.0
DeAndre Jordan,DEN,17,3,0.759,1.0,0.755,0.462,5.6
Dejounte Murray,ATL,22,22,0.443,0.346,0.489,0.875,20.9
Delon Wright,WAS,4,0,0.417,0.25,0.583,0.6,6.5
DeMar DeRozan,CHI,21,21,0.52,0.313,0.539,0.88,26.3
Deni Avdija,WAS,22,19,0.407,0.283,0.489,0.75,7.5
Dennis Schröder,LAL,7,4,0.396,0.333,0.424,0.889,8.4
Dennis Smith Jr.,CHO,15,11,0.463,0.333,0.5,0.5,9.3
Dereon Seabron,NOP,2,0,0.0,0.0,0.0,0.0,0.0
Derrick Jones Jr.,CHI,16,0,0.418,0.188,0.513,0.848,4.8
Derrick Rose,NYK,20,0,0.403,0.362,0.427,1.0,6.6
Derrick White,BOS,22,17,0.491,0.452,0.538,0.872,11.1
Desmond Bane,MEM,12,12,0.465,0.451,0.477,0.912,24.7
Devin Booker,PHO,21,21,0.489,0.378,0.537,0.878,29.0
Devin Vassell,SAS,17,15,0.464,0.423,0.497,0.796,20.6
Devon Dotson,WAS,2,0,0.0,0.0,0.0,0.0,0.0
Devonte' Graham,NOP,21,0,0.388,0.41,0.267,0.762,6.0
Dewayne Dedmon,MIA,18,0,0.58,0.391,0.646,0.758,7.6
Dillon Brooks,MEM,18,18,0.401,0.333,0.444,0.722,17.3
Domantas Sabonis,SAC,20,20,0.585,0.292,0.623,0.743,16.7
Dominick Barlow,SAS,3,0,0.333,0.0,0.667,1.0,2.7
Donovan Mitchell,CLE,20,20,0.49,0.422,0.545,0.885,28.4
Donte DiVincenzo,GSW,14,1,0.377,0.349,0.444,0.818,5.0
Dorian Finney-Smith,DAL,20,20,0.418,0.333,0.6,0.737,9.1
Doug McDermott,SAS,20,0,0.473,0.406,0.565,0.625,10.3
Draymond Green,GSW,20,20,0.602,0.32,0.673,0.697,9.0
Drew Eubanks,POR,21,3,0.727,0.0,0.727,0.676,5.7
Dru Smith,MIA,3,0,0.444,0.333,0.5,0.0,3.0
Duane Washington Jr.,PHO,14,0,0.382,0.289,0.474,0.0,4.9
Duncan Robinson,MIA,17,0,0.36,0.315,0.481,0.9,6.1
Dwight Powell,DAL,17,13,0.684,0.0,0.696,0.667,5.9
Dyson Daniels,NOP,13,0,0.538,0.474,0.576,0.643,5.7
Edmond Sumner,BRK,19,8,0.438,0.293,0.531,0.939,7.1
Eric Gordon,HOU,18,18,0.444,0.362,0.545,0.878,12.3
Eugene Omoruyi,OKC,8,0,0.515,0.462,0.55,0.636,5.9
Evan Fournier,NYK,13,7,0.344,0.333,0.364,0.818,6.9
Evan Mobley,CLE,22,22,0.555,0.2,0.587,0.684,15.0
Facundo Campazzo,DAL,8,0,0.231,0.273,0.0,0.5,1.3
Frank Kaminsky,ATL,10,0,0.583,0.5,0.667,1.0,2.1
Frank Ntilikina,DAL,5,0,0.375,0.2,0.667,0.0,1.4
Franz Wagner,ORL,22,22,0.498,0.318,0.566,0.863,19.6
Fred VanVleet,TOR,15,15,0.37,0.357,0.386,0.862,17.5
Furkan Korkmaz,PHI,11,0,0.422,0.348,0.5,0.8,5.3
Gabe Vincent,MIA,17,0,0.404,0.31,0.532,0.84,9.7
Garrett Temple,NOP,7,0,0.45,0.417,0.5,0.75,3.7
Garrison Mathews,HOU,18,0,0.379,0.381,0.333,0.95,5.2
Gary Harris,ORL,6,3,0.479,0.435,0.52,1.0,10.3
Gary Trent Jr.,TOR,18,16,0.416,0.331,0.496,0.767,17.2
George Hill,MIL,20,0,0.41,0.295,0.538,0.684,5.4
Georges Niang,PHI,22,0,0.469,0.441,0.548,0.867,9.8
Giannis Antetokounmpo,MIL,17,17,0.533,0.232,0.587,0.608,31.3
Goga Bitadze,IND,14,0,0.538,0.2,0.655,0.5,3.8
Goran Dragić,CHI,20,0,0.427,0.404,0.442,0.654,8.1
Gordon Hayward,CHO,11,11,0.445,0.381,0.471,0.767,16.3
Gorgui Dieng,SAS,10,1,0.438,0.304,0.778,0.75,3.8
Grant Williams,BOS,21,10,0.52,0.442,0.652,0.846,8.8
Grayson Allen,MIL,18,16,0.455,0.44,0.48,0.915,11.2
Greg Brown III,POR,5,0,0.455,0.0,0.556,0.0,2.0
Hamidou Diallo,DET,23,0,0.479,0.154,0.519,0.623,6.4
Harrison Barnes,SAC,20,20,0.476,0.281,0.596,0.869,13.2
Haywood Highsmith,MIA,13,1,0.345,0.3,0.393,0.4,4.1
Herbert Jones,NOP,17,17,0.444,0.286,0.527,0.741,10.6
Immanuel Quickley,NYK,22,0,0.387,0.302,0.463,0.87,9.4
Isaac Okoro,CLE,22,4,0.405,0.2,0.568,0.821,4.3
Isaiah Hartenstein,NYK,22,7,0.541,0.222,0.604,0.826,6.4
Isaiah Jackson,IND,20,3,0.565,0.0,0.584,0.702,7.2
Isaiah Joe,OKC,16,0,0.473,0.435,0.667,0.778,4.9
Isaiah Livers,DET,21,6,0.392,0.342,0.565,0.75,5.8
Isaiah Mobley,CLE,7,0,0.5,0.5,0.5,0.0,1.3
Isaiah Roby,SAS,17,0,0.457,0.379,0.512,0.444,4.9
Isaiah Stewart,DET,16,16,0.474,0.365,0.571,0.746,12.4
Isaiah Todd,WAS,4,0,0.25,0.0,1.0,0.0,0.5
Ish Smith,DEN,8,0,0.375,0.25,0.393,0.0,3.1
Ish Wainright,PHO,6,0,0.375,0.462,0.0,0.0,3.0
Ivica Zubac,LAC,23,23,0.616,0.0,0.62,0.681,10.7
Ja Morant,MEM,18,18,0.468,0.376,0.495,0.743,28.2
Jabari Smith Jr.,HOU,20,20,0.353,0.344,0.366,0.857,11.7
Jabari Walker,POR,11,0,0.455,0.167,0.563,0.667,2.3
Jack White,DEN,7,0,0.0,0.0,0.0,0.0,0.0
Jaden Hardy,DAL,3,0,0.0,0.0,0.0,0.0,0.0
Jaden Ivey,DET,19,19,0.421,0.318,0.474,0.738,16.2
Jaden McDaniels,MIN,19,19,0.535,0.357,0.631,0.765,11.4
Jaden Springer,PHI,2,0,0.667,0.0,0.667,0.5,2.5
Jae'Sean Tate,HOU,3,2,0.5,0.4,0.533,0.75,8.3
Jake LaRavia,MEM,16,0,0.414,0.388,0.476,1.0,5.1
Jakob Poeltl,SAS,20,20,0.64,0.0,0.64,0.518,12.9
Jalen Brunson,NYK,22,22,0.486,0.323,0.545,0.878,21.3
Jalen Duren,DET,20,0,0.583,0.0,0.589,0.487,6.6
Jalen Green,HOU,21,21,0.424,0.344,0.488,0.791,21.3
Jalen Johnson,ATL,20,0,0.474,0.192,0.62,0.667,4.4
Jalen McDaniels,CHO,21,3,0.439,0.375,0.485,0.844,9.7
Jalen Smith,IND,21,21,0.444,0.299,0.56,0.765,11.4
Jalen Suggs,ORL,14,13,0.419,0.294,0.517,0.657,12.4
Jalen Williams,OKC,18,7,0.524,0.295,0.621,0.839,10.7
Jamal Cain,MIA,8,0,0.536,0.167,0.636,0.667,4.4
Jamal Murray,DEN,17,17,0.445,0.379,0.477,0.783,17.8
James Bouknight,CHO,19,0,0.336,0.237,0.444,0.625,5.3
James Harden,PHI,9,9,0.441,0.333,0.518,0.929,22.0
James Johnson,IND,6,0,0.4,0.143,0.625,0.0,2.2
James Wiseman,GSW,11,0,0.588,0.0,0.588,0.652,6.8
JaMychal Green,GSW,19,0,0.5,0.194,0.656,0.846,5.7
Jaren Jackson Jr.,MEM,6,6,0.463,0.303,0.574,0.771,18.5
Jarred Vanderbilt,UTA,22,22,0.592,0.364,0.639,0.625,8.3
Jarrett Allen,CLE,17,17,0.588,0.0,0.595,0.788,13.5
Jarrett Culver,ATL,3,0,0.375,0.0,0.5,0.667,3.3
Jason Preston,LAC,3,0,0.5,0.5,0.5,0.0,1.7
JaVale McGee,DAL,15,7,0.578,0.0,0.578,0.55,4.2
Javonte Green,CHI,21,0,0.575,0.385,0.667,0.68,5.7
Jaxson Hayes,NOP,9,0,0.188,0.0,0.375,0.571,1.1
Jaylen Brown,BOS,20,20,0.509,0.336,0.598,0.832,26.1
Jaylen Nowell,MIN,22,0,0.43,0.315,0.512,0.774,11.0
Jaylin Williams,OKC,5,0,0.455,0.0,0.556,0.667,2.8
Jayson Tatum,BOS,21,21,0.488,0.366,0.589,0.873,31.6
JD Davison,BOS,3,0,0.25,0.0,0.5,0.0,0.7
Jeff Dowtin,TOR,8,0,0.529,0.25,0.615,1.0,2.5
Jeff Green,DEN,16,3,0.528,0.25,0.609,0.778,7.9
Jerami Grant,POR,21,21,0.474,0.476,0.472,0.765,22.2
Jeremiah Robinson-Earl,OKC,21,14,0.493,0.4,0.575,0.727,8.5
Jeremy Sochan,SAS,20,20,0.473,0.182,0.594,0.55,8.1
Jericho Sims,NYK,15,2,0.756,0.0,0.756,0.8,4.7
Jevon Carter,MIL,20,20,0.445,0.423,0.468,0.846,9.1
Jimmy Butler,MIA,13,13,0.483,0.355,0.51,0.901,20.9
Jock Landale,PHO,18,0,0.517,0.111,0.694,0.806,6.7
Joe Harris,BRK,21,12,0.373,0.336,0.467,0.733,8.0
Joel Embiid,PHI,14,14,0.511,0.265,0.564,0.839,31.1
John Butler,POR,4,0,0.333,0.0,1.0,0.0,0.5
John Collins,ATL,22,22,0.484,0.219,0.621,0.845,12.3
John Konchar,MEM,20,12,0.473,0.41,0.583,0.909,8.4
John Wall,LAC,18,0,0.441,0.258,0.532,0.658,12.9
Johnny Davis,WAS,8,0,0.273,0.0,0.333,1.0,1.1
Jonas Valančiūnas,NOP,21,21,0.539,0.438,0.56,0.818,13.0
Jonathan Kuminga,GSW,18,2,0.424,0.25,0.536,0.75,5.8
Jordan Clarkson,UTA,24,24,0.433,0.362,0.5,0.829,19.5
Jordan Goodwin,WAS,15,1,0.532,0.458,0.566,0.625,6.9
Jordan Hall,SAS,9,0,0.321,0.2,0.462,0.778,3.1
Jordan McLaughlin,MIN,15,0,0.434,0.241,0.667,1.0,3.9
